timestamp,counter,servo_1_sent,servo_1_read,servo_2_sent,servo_2_read,servo_5_sent,servo_5_read,servo_8_sent,servo_8_read,servo_11_sent,servo_11_read,servo_14_sent,servo_14_read,servo_0_sent,servo_0_read,servo_16_sent,servo_16_read,servo_17_sent,servo_17_read,servo_20_sent,servo_20_read,servo_23_sent,servo_23_read,servo_26_sent,servo_26_read,servo_29_sent,servo_29_read,servo_15_sent,servo_15_read
1756403340.09445,75,0,35661,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403340.35017,80,0,1529,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403340.58425,85,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403340.83508,90,0,0,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403341.07469,95,39321,983,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403341.31929,100,39321,34569,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403341.56271,105,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403341.80812,110,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403342.08439,115,0,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403342.33287,120,0,5242,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403342.57771,125,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403342.79647,130,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403343.03187,135,39321,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403343.27931,140,39321,29326,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403343.5091,145,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403343.74067,150,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403343.9682,155,0,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403344.22251,160,0,13325,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403344.46005,165,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403344.70365,170,0,0,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403344.9389,175,0,0,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403345.17804,180,39321,14090,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403345.41128,185,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403345.65111,190,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403345.91616,195,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403346.19879,200,0,16766,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403346.43295,205,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403346.68237,210,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403346.9349,215,0,0,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403347.19581,220,39321,14035,0,0,0,20,0,0,0,40,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403347.45006,225,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403347.6831,230,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756403347.91203,235,39321,36426,0,0,0,20,0,0,0,40,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
